epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.487,0.51205,1.21043,2.24327,1.16756,0.68102,0.66015,0.75046,0.63968,0.68172,0.66186,0.75123,0.70258,0.62169,0.61966,1.54442,1.46291,0.000254065,0.000254065,0.000254065
2,236.821,0.49887,0.88493,1.12753,1.14035,0.80824,0.62584,0.79462,0.68646,0.80751,0.62269,0.79118,0.76728,0.52655,0.42438,1.08466,1.29593,0.000510052,0.000510052,0.000510052
3,339.577,0.50242,0.82488,0.98655,1.13475,0.70809,0.64023,0.71757,0.59331,0.70645,0.63938,0.71578,0.67726,0.66118,0.93522,1.37397,1.54556,0.000764652,0.000764652,0.000764652
4,443.202,0.50727,0.942,1.01124,1.13425,0.70974,0.65035,0.72589,0.61359,0.71416,0.65341,0.73158,0.68132,0.51788,0.44941,1.70781,1.27142,0.000764314,0.000764314,0.000764314
5,545.895,0.46783,0.79909,0.89467,1.10557,0.85913,0.85303,0.92851,0.80292,0.85913,0.85303,0.92917,0.90366,0.52988,0.36064,0.69585,1.28283,0.000760682,0.000760682,0.000760682
6,648.376,0.45703,0.79494,0.85645,1.0963,0.68027,0.75548,0.8498,0.74129,0.67635,0.7385,0.83498,0.78715,0.49443,0.64244,1.20402,1.19234,0.000756029,0.000756029,0.000756029
7,751.02,0.43265,0.73879,0.79973,1.08245,0.86717,0.86641,0.92684,0.85062,0.86564,0.86715,0.9271,0.9038,0.40435,0.42643,0.6031,1.11437,0.000750369,0.000750369,0.000750369
8,853.149,0.41912,0.70703,0.7831,1.06995,0.87416,0.8499,0.93454,0.83336,0.87416,0.8499,0.93409,0.9099,0.46081,0.30796,0.60915,1.15965,0.000743717,0.000743717,0.000743717
9,957.008,0.40847,0.7139,0.72513,1.06324,0.66195,0.67616,0.69939,0.64704,0.66452,0.6777,0.69878,0.67775,0.39093,0.42523,1.63364,1.08149,0.000736091,0.000736091,0.000736091
10,1062.2,0.39141,0.68465,0.69934,1.05474,0.94517,0.90288,0.96113,0.89353,0.94411,0.90218,0.96008,0.93983,0.37075,0.3911,0.44698,1.04976,0.000727511,0.000727511,0.000727511
